"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HTDD","MNPN","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG","COUNTY"
"USC00454679","LIND 3 NE, WA US",2002-06-01,NA,94,92,6,2,0,0,0,0,0,26,8,34,0,0,0.46,100,10.95,5618,94,55,81,0.73,NA,0,64.9,81,48.8,NA,NA,NA,NA,2658.8,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2002-07-01,NA,338,244,2,1,0,0,0,0,0,30,17,42,0,0,0.3,105,14.37,15,15,59,88,0.37,NA,0,73.2,91,55.5,NA,NA,NA,NA,2337.6,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2002-08-01,NA,470,132,2,0,0,0,0,0,0,31,7,38,0,0,0.02,95,12.1,42,27,56,84,0.04,NA,0,68.4,85.4,51.3,NA,NA,NA,NA,1952.3,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2002-09-01,NA,516,45,1,0,0,0,0,0,0,24,4,33,0,0,0.03,92,8.64,200,158,50,74,0.03,NA,0,61,77.6,44.5,NA,NA,NA,NA,2273,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2002-10-01,NA,516,0,2,0,0,0,0,20,0,5,0,4,0,0,0.06,73,NA,783,583,NA,NA,0.09,NA,0,45.9,61.8,29.9,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2002-11-01,NA,516,0,6,5,0,0,0,14,1,0,0,8,0,0,0.28,59,NA,1473,690,NA,NA,0.81,NA,0,38.6,48.6,28.7,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2002-12-01,NA,516,0,15,7,0,1,0,18,4,0,0,24,0,1,0.44,60,NA,2219,745,NA,NA,2.05,NA,1.6,36,40.1,31.9,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-01-01,NA,0,0,16,9,2,1,0,26,4,0,0,23,2,2.4,0.54,58,NA,3083,865,NA,NA,2.71,NA,2.7,36.1,41.8,30.3,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-02-01,NA,0,0,6,3,0,0,0,22,0,0,0,13,0,0,0.26,55,NA,3838,755,NA,NA,0.69,NA,0,37.1,46.3,27.9,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-03-01,NA,0,0,8,4,0,0,0,13,0,1,0,24,0,0,0.18,70,NA,4409,571,NA,NA,0.7,NA,0,44.9,54.9,34.9,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-04-01,NA,0,0,8,5,0,0,0,9,0,5,0,26,0,0,0.46,73,7.34,4853,444,43,66,1.15,NA,0,49.7,61.9,37.4,NA,NA,NA,NA,2599.2,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-05-01,NA,8,8,6,0,0,0,0,7,0,14,1,25,0,0,0.06,92,8.86,5178,325,49,74,0.18,NA,0,54.8,70.2,39.4,NA,NA,NA,NA,2271.1,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-06-01,NA,89,81,0,0,0,0,0,0,0,27,5,37,0,0,0,96,11.74,5256,78,55,84,0,NA,0,65.1,82.7,47.5,NA,NA,NA,NA,2482.4,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-07-01,NA,342,253,0,0,0,0,0,0,0,30,21,40,0,0,0,100,14.37,15,15,59,89,0,NA,0,72.9,92.5,53.2,NA,NA,NA,NA,1965.4,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-08-01,NA,544,202,2,0,0,0,0,0,0,31,16,44,0,0,0.03,98,12.21,15,0,57,85,0.05,NA,0,71.5,89.6,53.4,NA,NA,NA,NA,1919.4,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-09-01,NA,641,97,1,1,0,0,0,0,0,27,7,35,0,0,0.28,99,9.07,124,109,52,76,0.28,NA,0,64.6,81.2,48,NA,NA,NA,NA,2102.7,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-10-01,NA,649,8,4,1,0,0,0,6,0,15,0,17,0,0,0.1,85,NA,430,305,NA,NA,0.26,NA,0,54.9,69.2,40.5,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-11-01,NA,649,0,7,3,5,1,0,25,1,0,0,1,1,1,0.18,60,NA,1242,812,NA,NA,0.66,NA,1.5,34.2,44.1,24.4,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2003-12-01,NA,649,0,15,7,NA,1,0,28,6,0,0,6,NA,2.2,0.35,48,NA,2269,1027,NA,NA,2.06,NA,4.6,31.9,37,26.7,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2004-01-01,NA,0,0,10,3,28,5,1,28,19,0,0,-19,13,5,0.29,51,NA,3477,1208,NA,NA,1.04,NA,14.8,26,30.6,21.4,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2004-02-01,NA,0,0,10,6,9,2,0,27,0,0,0,17,3,3.2,0.29,56,NA,4323,846,NA,NA,1.31,NA,5.9,34.9,41.9,27.8,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2004-03-01,NA,0,0,4,2,1,0,0,16,0,3,0,26,1,0.6,0.14,73,NA,4882,559,NA,NA,0.31,NA,0.6,47,60.3,33.6,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2004-04-01,NA,0,0,5,2,0,0,0,6,0,8,0,24,0,0,0.28,81,7.61,5278,395,44,71,0.58,NA,0,51.5,67.1,35.9,NA,NA,NA,NA,2263,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",2004-05-01,NA,0,0,6,2,0,0,0,1,0,18,0,32,0,0,0.3,80,8.85,5550,272,50,75,0.61,NA,0,55.9,70.1,41.7,NA,NA,NA,NA,2594.8,NA,NA,NA,"Adams County"
